Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas,,,,
2000,Debby,Category 1,28,85,"$737,000.00",1,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",,,,
2000,Gordon,Category 1,9.48,80,"$5,100,000.00",26,"Central America (particularly Belize), Yucatán Peninsula, Cuba, East Coast of the United States, Atlantic Canada",,,,
2000,Helene,TS,9.56,70,"$16,000,000.00",2,"Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cuba, Isle of Youth, Eastern United States, Atlantic Canada",,,,
2000,Leslie,TS,17.5,45,"$950,000,000.00",3,"Cuba, Bahamas, Florida, Bermuda, Atlantic Canada, Europe",,,,
2001,Allison,TS,40,60,"$9,000,000,000.00",55,"Texas, Louisiana, Mississippi, Alabama, Georgia, Florida, South Carolina, North Carolina, Virginia, District of Columbia, Maryland, Delaware, Pennsylvania, New York, New Jersey, Rhode Island, New England, Atlantic Canada",,,,
2001,Barry,TS,8.9,70,"$30,000,000.00",9,"Cuba, Southeastern United States (Especially Florida, Alabama)",,,,
2001,Gabrielle,Category 1,15.1,80,"$230,000,000.00",3,"Florida, Newfoundland",,,,
2001,Michelle,Category 4,41.65,140,"$2,430,000,000.00",48,"Jamaica, Costa Rica, Nicaragua, Honduras, Cayman Islands, Cuba, Florida, Bahamas, Turks and Caicos Islands, Bermuda",,,,
2002,Arthur,TS,4.49,60,,1,"Florida, Georgia, South Carolina, North Carolina, Bermuda, Newfoundland",,,,
2002,Bertha,TS,3,40,"$200,000.00",1,"Florida, Alabama, Mississippi, Louisiana, Texas",,,,
2002,Cristobal,TS,2.78,50,,3,"Bermuda, New York",,,,
2002,Edouard,TS,7.64,65,,0,Florida,,,,
2002,Hanna,TS,5.75,60,"$20,000,000.00",3,"Florida, Louisiana, Alabama, Mississippi, Georgia, Southeast U.S., Mid-Atlantic",,,,
2002,Isidore,Category 3,21.7,125,"$1,280,000,000.00",22,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi",,,,
2002,Lili,Category 4,4.14,145,"$1,160,000,000.00",15,"Windward Islands, Haiti, Jamaica, Cuba, Yucatan Peninsula, Cayman Islands, Louisiana",,,,
2002,Kyle,Category 1,2.19,85,"$5,000,000.00",1,"Bermuda, Florida, Georgia, Carolinas, British Isles",,,,
2003,Ana,TS,2.63,60,,2,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi",,,,
2003,Bill,TS,4,60,"$50,500,000.00",4,"Mexico, Gulf Coast of the United States, Southeastern United States",,,,
2003,Claudette,Category 1,3,90,"$181,000,000.00",3,"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas",,,,
2003,Erika,Category 1,3.83,75,"$100,000.00",2,"The Bahamas, Florida, Mexico, Southern Texas",,,,
2003,Grace,TS,10.36,40,"$113,000.00",0,"Texas, Oklahoma, Ohio Valley, Mid-Atlantic States",,,,
2003,Henri,TS,10,60,"$19,600,000.00",0,"Florida, Delaware, Pennsylvania",,,,
2003,Isabel,Category 5,1.34,165,"$3,600,000,000.00",51,"Lesser Antilles, Greater Antilles, Lucayan Archipelago, East Coast of the United States, Atlantic Canada",,,,
2004,Bonnie,TS,4.64,65,"$1,270,000.00",4,"Lesser Antilles, Hispaniola, Jamaica, Cuba, Yucatán Peninsula, Florida, Georgia, South Carolina, North Carolina, Virginia, Maine",,,,
2004,Charley,Category 4,5.87,150,"$16,900,000,000.00",35,"Jamaica, Cayman Islands, Cuba, Florida, The Carolinas",,,,
2004,Frances,Category 4,13,145,"$10,100,000,000.00",50,"Virgin Islands, Puerto Rico, Turks and Caicos Islands, Bahamas, Florida, Atlantic Canada",,,,
